X_05%,X_68%,X_95%,Template
10764,14156,16483,4
11071,16595,17766,4
10886,15454,16532,4
10148,14629,16896,4
10895,17734,19319,4
11781,17223,19527,4
12832,18421,20668,4
13593,19042,20978,4
14064,19922,21334,4
14898,19070,20555,4
14526,17898,19859,4
13141,18518,20071,4
12711,18241,20347,4
14717,20407,22419,4
15191,20616,22682,4
16275,21082,21806,4
14636,17499,18662,4
12578,16803,17956,4
12772,18366,20596,4
13858,19008,20895,4
14075,19025,20423,4
13744,18827,20055,4
13674,19181,20655,4
14302,18274,19717,4
14745,18291,20303,4
14551,20070,21516,4
14298,19590,20976,4
13644,18973,20574,4
13403,18596,20470,4
14017,18840,19837,4
13571,17165,18645,4
13330,16547,17982,4
12859,18082,19335,4
12982,18378,19930,4
12197,17247,19031,4
12677,17824,19270,4
12435,18449,19226,4
11883,16062,17068,4
12300,16410,18465,4
12883,18078,19238,4
11976,16875,18319,4
11918,17241,19108,4
12793,18078,18921,4
12356,17119,17560,4
11790,15124,16288,4
11765,15892,17882,4
13361,17714,18909,4
13308,18255,19018,4
12654,17825,18736,4
12629,17363,18424,4
12331,16797,17617,4
11549,15717,16418,4
11159,14901,16940,4
11677,16974,18281,4
12114,17351,18631,4
12384,17347,18477,4
12321,17201,18366,4
12264,16821,17380,4
11745,14927,15648,4
11075,14086,16139,4
10743,15992,17313,4
10823,16281,17239,4
10735,15901,17266,4
10877,16410,17463,4
10974,16668,17202,4
10519,14801,15400,4
10558,13870,15998,4
10719,17126,18372,4
11643,16920,18328,4
11751,16644,18003,4
11634,16637,17544,4
11246,16450,17269,4
11582,15002,16147,4
11527,14474,16560,4
10990,16011,17479,4
11356,17025,18842,4
12190,17746,18664,4
12180,17120,18325,4
11889,16875,17422,4
11915,14950,16027,4
10789,14234,16296,4
11580,17214,18837,4
12598,17080,18183,4
11661,16123,17323,4
10926,16386,17287,4
10657,15525,15971,4
9993,14133,14847,4
9802,13801,15554,4
10680,15744,17057,4
11016,16334,17429,4
10875,16612,17727,4
10957,16734,17864,4
11072,16643,16906,4
10828,15151,15701,4
10380,14222,15759,4
10937,16756,17504,4
11776,16379,16798,4
11053,15973,16399,4
10830,15538,16023,4
10420,14611,15269,4
10151,13415,14224,4
9815,12913,13766,4
10009,15589,16402,4
10620,16793,17308,4
10517,16221,16423,4
10414,15690,16379,4
10711,15265,15965,4
10254,13328,14018,4
9342,12780,13678,4
9518,15360,15554,4
9895,15125,15508,4
9816,15061,15521,4
9913,15656,15970,4
9863,15176,16048,4
9945,13167,13830,4
9595,12913,14507,4
9895,16310,16532,4
10168,15519,15836,4
10116,15163,15630,4
10244,15399,15685,4
9887,15503,16061,4
9689,13733,14170,4
9515,13745,14671,4
9822,16110,16287,4
10050,15235,15619,4
10144,15416,15688,4
9999,15424,15734,4
9826,15782,16554,4
9537,13034,13596,4
9289,12725,13472,4
9505,15593,15764,4
9876,17017,17406,4
10450,17523,18264,4
10935,16571,17155,4
10028,15829,16171,4
10030,16193,16609,4
10338,14139,14421,4
9685,16264,16614,4
10136,16841,16979,4
10554,16280,16817,4
9986,16093,16584,4
10005,16637,17146,4
10229,13952,14799,4
9412,13847,14628,4
9731,16131,16341,4
9979,16136,16371,4
9984,15897,16105,4
10036,15964,16338,4
10042,15784,16466,4
9627,12876,13484,4
9157,12561,13002,4
9152,13246,13797,4
9376,15891,15978,4
9945,16391,16698,4
10110,16219,16556,4
9875,15774,16255,4
9765,13655,14247,4
9377,13568,14042,4
9626,16445,16820,4
10472,19054,20071,4
11668,21356,22860,4
12712,17323,17969,4
10336,16106,16602,4
9861,14085,14523,4
9495,14114,14435,4
10024,17175,17474,4
11046,20121,21242,4
12364,20365,21489,4
12303,20165,21185,4
12259,18774,19572,4
11329,16590,16979,4
9706,13862,14376,4
10033,17270,17821,4
10760,17841,18152,4
11346,18615,19375,4
11043,18444,19489,4
11397,18071,18776,4
11228,15933,16441,4
9796,14348,14790,4
10299,17351,17994,4
10896,17531,18146,4
10937,18125,18914,4
11158,19063,20154,4
11806,19313,20458,4
10739,16177,16376,4
10120,15510,15944,4
10800,16292,16901,4
11318,18769,19519,4
11310,19209,20136,4
11797,19092,19707,4
11693,17928,18764,4
10648,16501,16744,4
10681,16074,16428,4
10968,17903,18589,4
11093,17104,17648,4
10810,17332,17780,4
11048,18125,18788,4
11293,18429,18899,4
11332,17899,18351,4
11361,17359,17547,4
11931,19202,19595,4
12223,21000,22025,4
12571,21302,22513,4
12826,21849,23139,4
13437,20744,22076,4
12912,15760,16977,4
10450,14896,15115,4
10550,17893,18854,4
11193,17617,18165,4
11146,17367,17595,4
11297,19682,20598,4
12109,20655,21719,4
13096,19989,20434,4
13573,18961,19330,4
13043,22117,23083,4
13276,22421,23689,4
13667,21176,22303,4
12472,18048,18640,4
11073,16649,17330,4
10264,14497,15129,4
9869,14511,14779,4
10418,18377,18935,4
11425,19806,20827,4
12469,19785,21061,4
12519,20459,21658,4
13217,20091,21207,4
12297,17840,18325,4
11644,15598,15951,4
10982,17572,18131,4
10896,17893,18491,4
11101,18892,19723,4
12183,20477,21140,4
12798,21212,22932,4
13010,17332,18590,4
10244,14687,15109,4
10347,18521,19133,4
11546,17799,18399,4
10760,17620,18477,4
10682,17816,18480,4
11253,19378,20311,4
12402,20828,21333,4
13197,20094,20762,4
13335,22686,24116,4
13968,21079,21864,4
11751,18933,19801,4
11279,17880,18493,4
10961,17991,18839,4
11144,16891,17547,4
10536,13889,14354,4
9693,14562,15786,4
10222,19058,19624,4
12164,19401,19655,4
11885,20372,20586,4
12451,17886,18631,4
10479,14846,15346,4
9862,14764,16111,4
10548,18179,18572,4
10606,16905,17192,4
10367,16927,17124,4
10726,17974,18198,4
11250,18671,19106,4
11392,14959,15979,4
9553,13435,14841,4
9674,16177,16431,4
10060,16625,16787,4
10290,17698,18033,4
10864,17814,18210,4
10542,16798,17380,4
10184,15139,15642,4
10299,14847,15735,4
10067,17286,17534,4
10581,17301,17858,4
10541,16288,16556,4
10078,16130,16826,4
10201,16094,16480,4
9947,14233,15124,4
9701,13500,14796,4
9738,16166,16949,4
10084,15759,16582,4
10350,15891,16659,4
