SystemLoad,Date,Hour
12230,2004-01-01,1
11534,2004-01-01,2
11038,2004-01-01,3
10777,2004-01-01,4
10764,2004-01-01,5
11032,2004-01-01,6
11508,2004-01-01,7
11806,2004-01-01,8
12457,2004-01-01,9
13214,2004-01-01,10
13783,2004-01-01,11
21234,2004-01-01,12
28364,2004-01-01,13
13988,2004-01-01,14
27454,2004-01-01,15
20784,2004-01-01,16
15215,2004-01-01,17
16593,2004-01-01,18
16483,2004-01-01,19
16135,2004-01-01,20
15681,2004-01-01,21
14872,2004-01-01,22
13769,2004-01-01,23
12640,2004-01-01,24
11728,2004-01-02,1
11275,2004-01-02,2
11083,2004-01-02,3
11071,2004-01-02,4
11304,2004-01-02,5
12053,2004-01-02,6
13372,2004-01-02,7
14656,2004-01-02,8
15658,2004-01-02,9
16472,2004-01-02,10
16889,2004-01-02,11
17015,2004-01-02,12
16869,2004-01-02,13
16595,2004-01-02,14
16387,2004-01-02,15
16414,2004-01-02,16
17327,2004-01-02,17
27246,2004-01-02,18
35532,2004-01-02,19
34288,2004-01-02,20
24691,2004-01-02,21
15562,2004-01-02,22
14357,2004-01-02,23
13086,2004-01-02,24
12017,2004-01-03,1
11362,2004-01-03,2
11030,2004-01-03,3
10886,2004-01-03,4
10929,2004-01-03,5
11279,2004-01-03,6
11965,2004-01-03,7
12862,2004-01-03,8
13957,2004-01-03,9
14980,2004-01-03,10
15575,2004-01-03,11
15730,2004-01-03,12
15580,2004-01-03,13
15275,2004-01-03,14
14963,2004-01-03,15
14902,2004-01-03,16
15892,2004-01-03,17
16778,2004-01-03,18
16532,2004-01-03,19
15977,2004-01-03,20
15454,2004-01-03,21
14660,2004-01-03,22
13588,2004-01-03,23
12416,2004-01-03,24
11354,2004-01-04,1
10710,2004-01-04,2
10350,2004-01-04,3
10175,2004-01-04,4
10148,2004-01-04,5
10365,2004-01-04,6
16327,2004-01-04,7
22812,2004-01-04,8
30742,2004-01-04,9
39612,2004-01-04,10
13910,2004-01-04,11
42930,2004-01-04,12
36397,2004-01-04,13
29164,2004-01-04,14
21943,2004-01-04,15
14856,2004-01-04,16
16003,2004-01-04,17
17048,2004-01-04,18
16896,2004-01-04,19
16427,2004-01-04,20
15797,2004-01-04,21
14734,2004-01-04,22
13403,2004-01-04,23
12263,2004-01-04,24
11444,2004-01-05,1
11045,2004-01-05,2
10895,2004-01-05,3
16362,2004-01-05,4
22620,2004-01-05,5
31455,2004-01-05,6
44685,2004-01-05,7
57967,2004-01-05,8
67952,2004-01-05,9
77958,2004-01-05,10
17618,2004-01-05,11
80001,2004-01-05,12
70936,2004-01-05,13
62062,2004-01-05,14
52821,2004-01-05,15
44500,2004-01-05,16
37680,2004-01-05,17
29368,2004-01-05,18
19319,2004-01-05,19
18725,2004-01-05,20
17865,2004-01-05,21
16581,2004-01-05,22
14903,2004-01-05,23
13429,2004-01-05,24
12496,2004-01-06,1
12000,2004-01-06,2
11781,2004-01-06,3
17682,2004-01-06,4
24290,2004-01-06,5
33385,2004-01-06,6
46890,2004-01-06,7
59325,2004-01-06,8
68124,2004-01-06,9
76693,2004-01-06,10
77674,2004-01-06,11
68892,2004-01-06,12
59349,2004-01-06,13
50538,2004-01-06,14
41687,2004-01-06,15
33776,2004-01-06,16
27102,2004-01-06,17
19548,2004-01-06,18
19527,2004-01-06,19
19180,2004-01-06,20
18572,2004-01-06,21
17371,2004-01-06,22
15754,2004-01-06,23
14315,2004-01-06,24
13415,2004-01-07,1
12990,2004-01-07,2
12832,2004-01-07,3
12866,2004-01-07,4
19849,2004-01-07,5
28990,2004-01-07,6
42137,2004-01-07,7
54699,2004-01-07,8
64473,2004-01-07,9
73668,2004-01-07,10
83394,2004-01-07,11
92515,2004-01-07,12
18356,2004-01-07,13
91510,2004-01-07,14
81922,2004-01-07,15
73304,2004-01-07,16
67889,2004-01-07,17
62358,2004-01-07,18
51670,2004-01-07,19
40412,2004-01-07,20
29283,2004-01-07,21
18295,2004-01-07,22
16598,2004-01-07,23
15138,2004-01-07,24
14186,2004-01-08,1
13757,2004-01-08,2
13593,2004-01-08,3
13612,2004-01-08,4
13963,2004-01-08,5
15158,2004-01-08,6
17498,2004-01-08,7
18924,2004-01-08,8
19042,2004-01-08,9
19072,2004-01-08,10
19063,2004-01-08,11
18934,2004-01-08,12
18694,2004-01-08,13
18543,2004-01-08,14
27571,2004-01-08,15
36894,2004-01-08,16
48967,2004-01-08,17
62973,2004-01-08,18
20978,2004-01-08,19
61374,2004-01-08,20
49500,2004-01-08,21
37204,2004-01-08,22
25641,2004-01-08,23
15565,2004-01-08,24
14592,2004-01-09,1
14199,2004-01-09,2
14064,2004-01-09,3
14088,2004-01-09,4
14488,2004-01-09,5
15661,2004-01-09,6
27154,2004-01-09,7
39232,2004-01-09,8
49677,2004-01-09,9
59859,2004-01-09,10
70052,2004-01-09,11
79688,2004-01-09,12
88551,2004-01-09,13
97335,2004-01-09,14
96195,2004-01-09,15
86836,2004-01-09,16
80952,2004-01-09,17
75148,2004-01-09,18
64002,2004-01-09,19
52115,2004-01-09,20
40464,2004-01-09,21
28974,2004-01-09,22
18006,2004-01-09,23
16735,2004-01-09,24
15746,2004-01-10,1
15199,2004-01-10,2
14965,2004-01-10,3
14898,2004-01-10,4
14975,2004-01-10,5
23098,2004-01-10,6
16278,2004-01-10,7
25729,2004-01-10,8
18304,2004-01-10,9
19070,2004-01-10,10
19340,2004-01-10,11
19218,2004-01-10,12
18843,2004-01-10,13
18373,2004-01-10,14
18057,2004-01-10,15
18074,2004-01-10,16
19129,2004-01-10,17
20588,2004-01-10,18
20555,2004-01-10,19
20068,2004-01-10,20
19458,2004-01-10,21
18692,2004-01-10,22
17688,2004-01-10,23
16623,2004-01-10,24
15587,2004-01-11,1
14965,2004-01-11,2
22020,2004-01-11,3
29142,2004-01-11,4
36502,2004-01-11,5
44640,2004-01-11,6
53812,2004-01-11,7
63792,2004-01-11,8
76162,2004-01-11,9
88345,2004-01-11,10
99313,2004-01-11,11
18059,2004-01-11,12
98439,2004-01-11,13
88135,2004-01-11,14
78507,2004-01-11,15
70528,2004-01-11,16
65709,2004-01-11,17
59883,2004-01-11,18
49647,2004-01-11,19
38626,2004-01-11,20
27888,2004-01-11,21
17354,2004-01-11,22
15931,2004-01-11,23
14526,2004-01-11,24
13678,2004-01-12,1
13325,2004-01-12,2
13178,2004-01-12,3
13141,2004-01-12,4
13471,2004-01-12,5
14560,2004-01-12,6
16594,2004-01-12,7
17988,2004-01-12,8
18476,2004-01-12,9
18610,2004-01-12,10
18685,2004-01-12,11
18518,2004-01-12,12
18317,2004-01-12,13
27277,2004-01-12,14
36092,2004-01-12,15
18095,2004-01-12,16
38114,2004-01-12,17
30256,2004-01-12,18
20071,2004-01-12,19
19585,2004-01-12,20
18829,2004-01-12,21
17592,2004-01-12,22
15866,2004-01-12,23
14347,2004-01-12,24
13373,2004-01-13,1
12939,2004-01-13,2
12711,2004-01-13,3
12737,2004-01-13,4
13043,2004-01-13,5
14240,2004-01-13,6
16573,2004-01-13,7
26992,2004-01-13,8
36468,2004-01-13,9
36482,2004-01-13,10
27387,2004-01-13,11
17997,2004-01-13,12
17729,2004-01-13,13
17606,2004-01-13,14
17546,2004-01-13,15
17772,2004-01-13,16
18814,2004-01-13,17
20339,2004-01-13,18
20609,2004-01-13,19
20347,2004-01-13,20
19799,2004-01-13,21
18702,2004-01-13,22
17179,2004-01-13,23
15859,2004-01-13,24
15021,2004-01-14,1
14717,2004-01-14,2
14730,2004-01-14,3
14811,2004-01-14,4
15222,2004-01-14,5
16455,2004-01-14,6
18828,2004-01-14,7
20231,2004-01-14,8
20367,2004-01-14,9
20480,2004-01-14,10
20493,2004-01-14,11
20407,2004-01-14,12
20206,2004-01-14,13
20063,2004-01-14,14
29785,2004-01-14,15
40022,2004-01-14,16
52752,2004-01-14,17
22477,2004-01-14,18
56047,2004-01-14,19
43674,2004-01-14,20
31654,2004-01-14,21
19820,2004-01-14,22
18158,2004-01-14,23
16721,2004-01-14,24
15787,2004-01-15,1
15358,2004-01-15,2
15191,2004-01-15,3
15201,2004-01-15,4
15525,2004-01-15,5
24958,2004-01-15,6
37554,2004-01-15,7
50440,2004-01-15,8
61647,2004-01-15,9
72156,2004-01-15,10
82604,2004-01-15,11
92097,2004-01-15,12
20180,2004-01-15,13
90063,2004-01-15,14
79416,2004-01-15,15
70014,2004-01-15,16
63456,2004-01-15,17
56705,2004-01-15,18
45636,2004-01-15,19
33660,2004-01-15,20
21786,2004-01-15,21
20686,2004-01-15,22
19159,2004-01-15,23
17822,2004-01-15,24
16926,2004-01-16,1
16516,2004-01-16,2
16275,2004-01-16,3
16304,2004-01-16,4
16550,2004-01-16,5
17510,2004-01-16,6
28864,2004-01-16,7
41154,2004-01-16,8
53097,2004-01-16,9
64602,2004-01-16,10
21665,2004-01-16,11
64425,2004-01-16,12
52705,2004-01-16,13
41432,2004-01-16,14
30499,2004-01-16,15
20188,2004-01-16,16
20746,2004-01-16,17
21931,2004-01-16,18
21806,2004-01-16,19
21136,2004-01-16,20
20432,2004-01-16,21
19408,2004-01-16,22
18071,2004-01-16,23
16778,2004-01-16,24
15819,2004-01-17,1
15254,2004-01-17,2
14884,2004-01-17,3
14733,2004-01-17,4
14787,2004-01-17,5
15161,2004-01-17,6
15916,2004-01-17,7
16730,2004-01-17,8
17552,2004-01-17,9
18140,2004-01-17,10
18212,2004-01-17,11
17933,2004-01-17,12
17336,2004-01-17,13
16824,2004-01-17,14
16474,2004-01-17,15
16478,2004-01-17,16
17421,2004-01-17,17
18769,2004-01-17,18
27993,2004-01-17,19
36182,2004-01-17,20
34998,2004-01-17,21
25143,2004-01-17,22
15680,2004-01-17,23
14636,2004-01-17,24
13592,2004-01-18,1
13062,2004-01-18,2
