SystemLoad,Date,Hour
12230,2004-01-01,1
11534,2004-01-01,2
11038,2004-01-01,3
10777,2004-01-01,4
10764,2004-01-01,5
11032,2004-01-01,6
11508,2004-01-01,7
11806,2004-01-01,8
12457,2004-01-01,9
13214,2004-01-01,10
13783,2004-01-01,11
14156,2004-01-01,12
14182,2004-01-01,13
13988,2004-01-01,14
13727,2004-01-01,15
13856,2004-01-01,16
15215,2004-01-01,17
16593,2004-01-01,18
16483,2004-01-01,19
22571,2004-01-01,20
20578,2004-01-01,21
19711,2004-01-01,22
20872,2004-01-01,23
12640,2004-01-01,24
11728,2004-01-02,1
11275,2004-01-02,2
11083,2004-01-02,3
11071,2004-01-02,4
11304,2004-01-02,5
12053,2004-01-02,6
13372,2004-01-02,7
14656,2004-01-02,8
15658,2004-01-02,9
16472,2004-01-02,10
16889,2004-01-02,11
17015,2004-01-02,12
16869,2004-01-02,13
16595,2004-01-02,14
16387,2004-01-02,15
16414,2004-01-02,16
17327,2004-01-02,17
18164,2004-01-02,18
17766,2004-01-02,19
17144,2004-01-02,20
16461,2004-01-02,21
15562,2004-01-02,22
14357,2004-01-02,23
13086,2004-01-02,24
12017,2004-01-03,1
17367,2004-01-03,2
17613,2004-01-03,3
12774,2004-01-03,4
15660,2004-01-03,5
16579,2004-01-03,6
14440,2004-01-03,7
19658,2004-01-03,8
18882,2004-01-03,9
15647,2004-01-03,10
20574,2004-01-03,11
19791,2004-01-03,12
22231,2004-01-03,13
23106,2004-01-03,14
16248,2004-01-03,15
16871,2004-01-03,16
22126,2004-01-03,17
21962,2004-01-03,18
16951,2004-01-03,19
21906,2004-01-03,20
23285,2004-01-03,21
14660,2004-01-03,22
13588,2004-01-03,23
12416,2004-01-03,24
11354,2004-01-04,1
10710,2004-01-04,2
10350,2004-01-04,3
15497,2004-01-04,4
17120,2004-01-04,5
16309,2004-01-04,6
13750,2004-01-04,7
12307,2004-01-04,8
20095,2004-01-04,9
14206,2004-01-04,10
16648,2004-01-04,11
22820,2004-01-04,12
16059,2004-01-04,13
23056,2004-01-04,14
16830,2004-01-04,15
20633,2004-01-04,16
19035,2004-01-04,17
17476,2004-01-04,18
20363,2004-01-04,19
16427,2004-01-04,20
15797,2004-01-04,21
14734,2004-01-04,22
13403,2004-01-04,23
12263,2004-01-04,24
11444,2004-01-05,1
11045,2004-01-05,2
10895,2004-01-05,3
10908,2004-01-05,4
11310,2004-01-05,5
12582,2004-01-05,6
14895,2004-01-05,7
16562,2004-01-05,8
16988,2004-01-05,9
17324,2004-01-05,10
17618,2004-01-05,11
17778,2004-01-05,12
17734,2004-01-05,13
20566,2004-01-05,14
17607,2004-01-05,15
17800,2004-01-05,16
18840,2004-01-05,17
19579,2004-01-05,18
19319,2004-01-05,19
18725,2004-01-05,20
17865,2004-01-05,21
16581,2004-01-05,22
14903,2004-01-05,23
13429,2004-01-05,24
12496,2004-01-06,1
12000,2004-01-06,2
11781,2004-01-06,3
11788,2004-01-06,4
20217,2004-01-06,5
19018,2004-01-06,6
16371,2004-01-06,7
20648,2004-01-06,8
22546,2004-01-06,9
25376,2004-01-06,10
23834,2004-01-06,11
24164,2004-01-06,12
23426,2004-01-06,13
16846,2004-01-06,14
16675,2004-01-06,15
16888,2004-01-06,16
18068,2004-01-06,17
19548,2004-01-06,18
19527,2004-01-06,19
19180,2004-01-06,20
18572,2004-01-06,21
17371,2004-01-06,22
15754,2004-01-06,23
14315,2004-01-06,24
13415,2004-01-07,1
12990,2004-01-07,2
12832,2004-01-07,3
12866,2004-01-07,4
13233,2004-01-07,5
14495,2004-01-07,6
16855,2004-01-07,7
18233,2004-01-07,8
18421,2004-01-07,9
18417,2004-01-07,10
18532,2004-01-07,11
18503,2004-01-07,12
18356,2004-01-07,13
18302,2004-01-07,14
18205,2004-01-07,15
20717,2004-01-07,16
21469,2004-01-07,17
24539,2004-01-07,18
29854,2004-01-07,19
29661,2004-01-07,20
19522,2004-01-07,21
18295,2004-01-07,22
16598,2004-01-07,23
15138,2004-01-07,24
14186,2004-01-08,1
13757,2004-01-08,2
13593,2004-01-08,3
18668,2004-01-08,4
16286,2004-01-08,5
19652,2004-01-08,6
21297,2004-01-08,7
27904,2004-01-08,8
27430,2004-01-08,9
23363,2004-01-08,10
21620,2004-01-08,11
26518,2004-01-08,12
24557,2004-01-08,13
19951,2004-01-08,14
22652,2004-01-08,15
26855,2004-01-08,16
20592,2004-01-08,17
21402,2004-01-08,18
23968,2004-01-08,19
23802,2004-01-08,20
23249,2004-01-08,21
26220,2004-01-08,22
26151,2004-01-08,23
15565,2004-01-08,24
14592,2004-01-09,1
14199,2004-01-09,2
14064,2004-01-09,3
14088,2004-01-09,4
14488,2004-01-09,5
15661,2004-01-09,6
18103,2004-01-09,7
19616,2004-01-09,8
19871,2004-01-09,9
28064,2004-01-09,10
22275,2004-01-09,11
25357,2004-01-09,12
27836,2004-01-09,13
30032,2004-01-09,14
28872,2004-01-09,15
20760,2004-01-09,16
25458,2004-01-09,17
31846,2004-01-09,18
26989,2004-01-09,19
28914,2004-01-09,20
23618,2004-01-09,21
20146,2004-01-09,22
26765,2004-01-09,23
16735,2004-01-09,24
15746,2004-01-10,1
15199,2004-01-10,2
14965,2004-01-10,3
14898,2004-01-10,4
14975,2004-01-10,5
15399,2004-01-10,6
16278,2004-01-10,7
21097,2004-01-10,8
18304,2004-01-10,9
19070,2004-01-10,10
19340,2004-01-10,11
19218,2004-01-10,12
18843,2004-01-10,13
18373,2004-01-10,14
18057,2004-01-10,15
18074,2004-01-10,16
19129,2004-01-10,17
20588,2004-01-10,18
20555,2004-01-10,19
20068,2004-01-10,20
19458,2004-01-10,21
18692,2004-01-10,22
17688,2004-01-10,23
16623,2004-01-10,24
15587,2004-01-11,1
14965,2004-01-11,2
14680,2004-01-11,3
14571,2004-01-11,4
14601,2004-01-11,5
14880,2004-01-11,6
15375,2004-01-11,7
23636,2004-01-11,8
17124,2004-01-11,9
17715,2004-01-11,10
27412,2004-01-11,11
26726,2004-01-11,12
19884,2004-01-11,13
22994,2004-01-11,14
20249,2004-01-11,15
26679,2004-01-11,16
26483,2004-01-11,17
19961,2004-01-11,18
19859,2004-01-11,19
19313,2004-01-11,20
18592,2004-01-11,21
17354,2004-01-11,22
15931,2004-01-11,23
14526,2004-01-11,24
13678,2004-01-12,1
13325,2004-01-12,2
13178,2004-01-12,3
13141,2004-01-12,4
13471,2004-01-12,5
14560,2004-01-12,6
17089,2004-01-12,7
23309,2004-01-12,8
27089,2004-01-12,9
21268,2004-01-12,10
20895,2004-01-12,11
26842,2004-01-12,12
18317,2004-01-12,13
18185,2004-01-12,14
18046,2004-01-12,15
18095,2004-01-12,16
19057,2004-01-12,17
20171,2004-01-12,18
20071,2004-01-12,19
19585,2004-01-12,20
18829,2004-01-12,21
17592,2004-01-12,22
15866,2004-01-12,23
14347,2004-01-12,24
13373,2004-01-13,1
17386,2004-01-13,2
21376,2004-01-13,3
14917,2004-01-13,4
17912,2004-01-13,5
16215,2004-01-13,6
21961,2004-01-13,7
18784,2004-01-13,8
21913,2004-01-13,9
27156,2004-01-13,10
26237,2004-01-13,11
20876,2004-01-13,12
17729,2004-01-13,13
17606,2004-01-13,14
17546,2004-01-13,15
17772,2004-01-13,16
18814,2004-01-13,17
20339,2004-01-13,18
20609,2004-01-13,19
20347,2004-01-13,20
19799,2004-01-13,21
18702,2004-01-13,22
17179,2004-01-13,23
15859,2004-01-13,24
15021,2004-01-14,1
14717,2004-01-14,2
14730,2004-01-14,3
14811,2004-01-14,4
15222,2004-01-14,5
16455,2004-01-14,6
18828,2004-01-14,7
20231,2004-01-14,8
20367,2004-01-14,9
20480,2004-01-14,10
20493,2004-01-14,11
20407,2004-01-14,12
20206,2004-01-14,13
20063,2004-01-14,14
19857,2004-01-14,15
20011,2004-01-14,16
21101,2004-01-14,17
22477,2004-01-14,18
22419,2004-01-14,19
21837,2004-01-14,20
21103,2004-01-14,21
19820,2004-01-14,22
18158,2004-01-14,23
16721,2004-01-14,24
15787,2004-01-15,1
15358,2004-01-15,2
19103,2004-01-15,3
16155,2004-01-15,4
15546,2004-01-15,5
26475,2004-01-15,6
21349,2004-01-15,7
27688,2004-01-15,8
25726,2004-01-15,9
20616,2004-01-15,10
20651,2004-01-15,11
20466,2004-01-15,12
20180,2004-01-15,13
20014,2004-01-15,14
19854,2004-01-15,15
20004,2004-01-15,16
21152,2004-01-15,17
22682,2004-01-15,18
22818,2004-01-15,19
22440,2004-01-15,20
21786,2004-01-15,21
20686,2004-01-15,22
19159,2004-01-15,23
17822,2004-01-15,24
16926,2004-01-16,1
16516,2004-01-16,2
16275,2004-01-16,3
16304,2004-01-16,4
16550,2004-01-16,5
17510,2004-01-16,6
19243,2004-01-16,7
20577,2004-01-16,8
21239,2004-01-16,9
21534,2004-01-16,10
21665,2004-01-16,11
21475,2004-01-16,12
21082,2004-01-16,13
20716,2004-01-16,14
20333,2004-01-16,15
20188,2004-01-16,16
27774,2004-01-16,17
27004,2004-01-16,18
25896,2004-01-16,19
25116,2004-01-16,20
20434,2004-01-16,21
19408,2004-01-16,22
18071,2004-01-16,23
16778,2004-01-16,24
15819,2004-01-17,1
15254,2004-01-17,2
14884,2004-01-17,3
14733,2004-01-17,4
14787,2004-01-17,5
15161,2004-01-17,6
15916,2004-01-17,7
16730,2004-01-17,8
17552,2004-01-17,9
18140,2004-01-17,10
18212,2004-01-17,11
21751,2004-01-17,12
20424,2004-01-17,13
20902,2004-01-17,14
16474,2004-01-17,15
16478,2004-01-17,16
17421,2004-01-17,17
18769,2004-01-17,18
18662,2004-01-17,19
18091,2004-01-17,20
17499,2004-01-17,21
16762,2004-01-17,22
15680,2004-01-17,23
14636,2004-01-17,24
13592,2004-01-18,1
13062,2004-01-18,2
