SystemLoad,Date,Hour
12230,2004-01-01,1
17301,2004-01-01,2
16557,2004-01-01,3
16165,2004-01-01,4
16146,2004-01-01,5
16548,2004-01-01,6
17262,2004-01-01,7
17709,2004-01-01,8
18685,2004-01-01,9
13214,2004-01-01,10
13783,2004-01-01,11
14156,2004-01-01,12
14182,2004-01-01,13
13988,2004-01-01,14
13727,2004-01-01,15
13856,2004-01-01,16
15215,2004-01-01,17
16593,2004-01-01,18
16483,2004-01-01,19
16135,2004-01-01,20
15681,2004-01-01,21
14872,2004-01-01,22
13769,2004-01-01,23
12640,2004-01-01,24
11728,2004-01-02,1
11275,2004-01-02,2
11083,2004-01-02,3
11071,2004-01-02,4
11304,2004-01-02,5
12053,2004-01-02,6
13372,2004-01-02,7
14656,2004-01-02,8
15658,2004-01-02,9
16472,2004-01-02,10
16889,2004-01-02,11
17015,2004-01-02,12
16869,2004-01-02,13
16595,2004-01-02,14
16387,2004-01-02,15
16414,2004-01-02,16
17327,2004-01-02,17
18164,2004-01-02,18
26649,2004-01-02,19
25716,2004-01-02,20
24691,2004-01-02,21
23343,2004-01-02,22
14357,2004-01-02,23
13086,2004-01-02,24
12017,2004-01-03,1
11362,2004-01-03,2
11030,2004-01-03,3
10886,2004-01-03,4
10929,2004-01-03,5
11279,2004-01-03,6
11965,2004-01-03,7
12862,2004-01-03,8
13957,2004-01-03,9
22470,2004-01-03,10
23362,2004-01-03,11
23595,2004-01-03,12
23370,2004-01-03,13
15275,2004-01-03,14
14963,2004-01-03,15
14902,2004-01-03,16
15892,2004-01-03,17
16778,2004-01-03,18
16532,2004-01-03,19
15977,2004-01-03,20
15454,2004-01-03,21
14660,2004-01-03,22
13588,2004-01-03,23
12416,2004-01-03,24
11354,2004-01-04,1
10710,2004-01-04,2
10350,2004-01-04,3
10175,2004-01-04,4
10148,2004-01-04,5
10365,2004-01-04,6
10885,2004-01-04,7
11406,2004-01-04,8
12297,2004-01-04,9
13204,2004-01-04,10
13910,2004-01-04,11
14310,2004-01-04,12
14559,2004-01-04,13
14582,2004-01-04,14
14629,2004-01-04,15
14856,2004-01-04,16
16003,2004-01-04,17
17048,2004-01-04,18
16896,2004-01-04,19
16427,2004-01-04,20
23695,2004-01-04,21
22101,2004-01-04,22
13403,2004-01-04,23
12263,2004-01-04,24
11444,2004-01-05,1
16567,2004-01-05,2
16342,2004-01-05,3
16362,2004-01-05,4
16965,2004-01-05,5
18873,2004-01-05,6
22342,2004-01-05,7
24843,2004-01-05,8
25482,2004-01-05,9
25986,2004-01-05,10
26427,2004-01-05,11
26667,2004-01-05,12
26601,2004-01-05,13
26598,2004-01-05,14
26410,2004-01-05,15
26700,2004-01-05,16
18840,2004-01-05,17
19579,2004-01-05,18
19319,2004-01-05,19
18725,2004-01-05,20
17865,2004-01-05,21
16581,2004-01-05,22
14903,2004-01-05,23
13429,2004-01-05,24
12496,2004-01-06,1
12000,2004-01-06,2
11781,2004-01-06,3
11788,2004-01-06,4
12145,2004-01-06,5
13354,2004-01-06,6
23445,2004-01-06,7
25425,2004-01-06,8
25546,2004-01-06,9
25564,2004-01-06,10
25891,2004-01-06,11
25834,2004-01-06,12
25435,2004-01-06,13
25269,2004-01-06,14
25012,2004-01-06,15
25332,2004-01-06,16
27102,2004-01-06,17
29322,2004-01-06,18
29290,2004-01-06,19
28770,2004-01-06,20
18572,2004-01-06,21
17371,2004-01-06,22
15754,2004-01-06,23
14315,2004-01-06,24
20122,2004-01-07,1
19485,2004-01-07,2
19248,2004-01-07,3
19299,2004-01-07,4
19849,2004-01-07,5
21742,2004-01-07,6
25282,2004-01-07,7
27349,2004-01-07,8
27631,2004-01-07,9
27625,2004-01-07,10
27798,2004-01-07,11
27754,2004-01-07,12
18356,2004-01-07,13
18302,2004-01-07,14
18205,2004-01-07,15
18326,2004-01-07,16
19397,2004-01-07,17
20786,2004-01-07,18
20668,2004-01-07,19
20206,2004-01-07,20
19522,2004-01-07,21
18295,2004-01-07,22
16598,2004-01-07,23
15138,2004-01-07,24
14186,2004-01-08,1
13757,2004-01-08,2
13593,2004-01-08,3
13612,2004-01-08,4
13963,2004-01-08,5
15158,2004-01-08,6
17498,2004-01-08,7
18924,2004-01-08,8
19042,2004-01-08,9
19072,2004-01-08,10
19063,2004-01-08,11
18934,2004-01-08,12
18694,2004-01-08,13
18543,2004-01-08,14
18381,2004-01-08,15
27670,2004-01-08,16
29380,2004-01-08,17
31486,2004-01-08,18
31467,2004-01-08,19
20458,2004-01-08,20
19800,2004-01-08,21
18602,2004-01-08,22
17094,2004-01-08,23
15565,2004-01-08,24
14592,2004-01-09,1
14199,2004-01-09,2
14064,2004-01-09,3
14088,2004-01-09,4
14488,2004-01-09,5
15661,2004-01-09,6
18103,2004-01-09,7
19616,2004-01-09,8
29806,2004-01-09,9
29929,2004-01-09,10
30022,2004-01-09,11
29883,2004-01-09,12
29517,2004-01-09,13
29200,2004-01-09,14
28858,2004-01-09,15
