X_05%,X_68%,X_95%,Template
10764,14182,16593,1
11071,16869,18164,1
10886,15575,16778,1
10148,14734,17048,1
10895,17778,19319,1
11781,17223,19527,1
12832,18503,20786,1
13593,19063,20978,1
14064,19953,21471,1
14898,19129,20588,1
14526,18057,19961,1
13141,18610,20171,1
12711,18258,20609,1
14717,20480,22419,1
15191,20651,22801,1
16275,21136,21931,1
14733,17552,18769,1
12578,16900,17969,1
12772,18445,20698,1
13858,19008,21050,1
14075,19129,20570,1
13744,18827,20057,1
13712,19219,20655,1
14302,18416,19852,1
14745,18301,20500,1
14551,20090,21572,1
14298,19626,21008,1
13644,18973,20584,1
13403,18620,20720,1
14017,18840,19837,1
13571,17578,18779,1
13330,16594,18122,1
12859,18082,19722,1
12982,18378,19977,1
12197,17257,19365,1
12677,17824,19544,1
12435,18522,19500,1
11883,16090,17326,1
12300,16468,18760,1
12883,18093,19468,1
11976,16910,18645,1
11918,17266,19459,1
12793,18214,19288,1
12356,17188,17986,1
11790,15396,16617,1
11765,15970,18147,1
13361,18000,19285,1
13308,18255,19483,1
12654,18015,19033,1
12629,17363,18741,1
12331,17014,17944,1
11549,15729,16719,1
11159,14901,17117,1
11677,17047,18281,1
12114,17356,19095,1
12384,17397,18773,1
12321,17201,18592,1
12264,16931,17661,1
11778,15023,15987,1
11075,14249,16440,1
10743,16078,17696,1
10823,16281,17631,1
10742,15933,17266,1
10877,16494,17796,1
10974,16668,17340,1
10519,14801,15672,1
10593,13973,15998,1
10719,17181,18808,1
11643,17042,18688,1
11751,16732,18227,1
11634,16695,17632,1
11246,16540,17629,1
11582,15076,16237,1
11527,14539,16755,1
10990,16011,17610,1
11356,17025,19246,1
12190,17755,18664,1
12199,17160,18325,1
11889,17073,17628,1
11915,14950,16263,1
10789,14249,16379,1
11580,17214,18848,1
12598,17271,18243,1
11661,16256,17348,1
10926,16386,17480,1
10657,15679,16129,1
9993,14270,15002,1
9802,13948,15554,1
10680,15744,17309,1
11016,16334,17553,1
10875,16657,17727,1
10957,16808,18042,1
11072,16643,17218,1
10828,15154,15847,1
10380,14227,15842,1
10983,16756,17504,1
11776,16554,16866,1
11053,16034,16515,1
10830,15538,16023,1
10420,14800,15297,1
10151,13750,14461,1
9815,12913,14311,1
10009,15589,16467,1
10620,16895,17408,1
10517,16221,16567,1
10414,15913,16467,1
10711,15265,15965,1
10254,13378,14054,1
9342,12786,14029,1
9518,15360,15554,1
9895,15125,15580,1
9816,15158,15534,1
9913,15656,15970,1
9863,15192,16074,1
9945,13167,13867,1
9595,12913,14777,1
9895,16313,16550,1
10168,15521,15851,1
10116,15360,15789,1
10244,15501,15781,1
9887,15505,16127,1
9689,13863,14494,1
9515,13745,14900,1
9822,16160,16345,1
10050,15267,15680,1
10144,15416,15798,1
9999,15492,15744,1
9826,16151,16643,1
9616,13237,13806,1
9289,13050,14093,1
9505,15593,15764,1
9876,17017,17406,1
10450,17652,18281,1
10935,16571,17231,1
10028,15829,16190,1
10030,16283,16617,1
10338,14207,14938,1
9685,16264,16614,1
10136,16884,17033,1
10554,16280,16866,1
9986,16342,16584,1
10005,16776,17173,1
10229,13976,14858,1
9412,13847,15002,1
9731,16131,16396,1
9979,16136,16379,1
9984,15897,16105,1
10036,15964,16363,1
10159,15784,16466,1
9627,13055,13546,1
9157,12567,13033,1
9152,13376,14245,1
9376,15893,16008,1
9945,16391,16799,1
10110,16219,16556,1
9875,15774,16318,1
9765,13681,14275,1
9377,13654,14091,1
9626,16445,16820,1
10472,19054,20071,1
11668,21883,22940,1
12712,17323,18039,1
10336,16335,16615,1
9861,14089,14598,1
9495,14133,14561,1
10024,17175,17474,1
11046,20181,21385,1
12364,20365,21489,1
12303,20375,21271,1
12417,18774,19572,1
11329,16592,17016,1
9706,13931,14443,1
10033,17270,17823,1
10760,17841,18152,1
11346,18615,19375,1
11043,19015,19498,1
11397,18071,18776,1
11228,15933,16552,1
9796,14415,14812,1
10299,17351,18080,1
