X_05%,X_68%,X_95%,Template
10764,15681,27454,2
11071,16869,34288,2
10886,15454,16532,2
10148,17048,39612,2
10895,44685,77958,2
11781,46890,76693,2
12832,64473,91510,2
13593,25641,61374,2
14064,70052,96195,2
14898,19218,23098,2
14526,65709,98439,2
13141,18685,36092,2
12711,19799,36468,2
14717,20493,52752,2
15191,61647,90063,2
16275,28864,64425,2
14636,17933,34998,2
12578,17956,40067,2
12772,18366,20596,2
13858,19008,20895,2
14075,19135,27264,2
13744,18827,20055,2
13674,20655,47845,2
14302,18274,19717,2
14745,18291,20303,2
14551,40292,67021,2
14298,20976,48430,2
13644,18973,20574,2
13403,18663,27381,2
14017,18840,29143,2
13571,17912,32894,2
13643,26660,50008,2
13494,34978,67128,2
12982,18378,19930,2
12197,19365,51186,2
12677,17824,19270,2
12435,18684,45392,2
11883,17068,40155,2
12337,17819,24848,2
12883,18232,25582,2
11976,16875,36638,2
11918,17266,25858,2
12793,59489,90295,2
12356,17301,24154,2
11790,19621,46449,2
11765,39925,63514,2
13361,36372,58751,2
13446,19962,45032,2
12654,17825,18736,2
12629,17363,18424,2
12331,49056,75420,2
11681,23280,48423,2
11159,14901,25410,2
11677,49206,74178,2
12114,26071,50439,2
12384,24309,52041,2
12321,59496,80680,2
12264,23856,48894,2
11745,15135,20847,2
11075,15356,27236,2
10890,39015,72351,2
10823,16412,18499,2
10735,15901,17266,2
10877,16722,31672,2
10974,16668,25026,2
10519,38500,56760,2
10558,13870,15998,2
10719,18372,42180,2
11874,17514,23286,2
11751,40605,64772,2
11634,16885,42287,2
11246,16540,24378,2
11582,44865,63913,2
11611,45178,72370,2
10990,16181,23247,2
11356,17025,18842,2
12190,41912,71396,2
12180,17231,33276,2
11889,17117,24441,2
11915,16027,35222,2
11756,41349,65740,2
11580,17214,18837,2
12598,42695,65240,2
11661,16291,32240,2
10926,16386,17287,2
10657,15746,22611,2
9993,14454,27226,2
9802,22836,48303,2
10787,50057,79820,2
11016,17429,39495,2
10875,18370,49080,2
10957,16734,25636,2
11072,16718,24570,2
10828,36065,59200,2
10473,15842,34020,2
10937,16941,24342,2
11776,54652,79270,2
11053,36447,65552,2
10830,15538,16023,2
10695,63945,88800,2
10151,13415,14224,2
9815,18034,40410,2
10009,37895,61744,2
10620,16793,17308,2
10517,16324,40232,2
10414,15690,16379,2
10711,15823,29114,2
10254,18543,39750,2
9493,13678,23355,2
9518,21769,46503,2
9895,29444,52937,2
9816,15061,15521,2
9913,15970,38037,2
10017,16074,37940,2
9945,13167,13830,2
9595,32282,50244,2
10078,61016,90926,2
10168,15821,37747,2
10116,15393,17088,2
10244,37195,61596,2
9887,15746,19113,2
9689,13733,21111,2
10058,47477,74101,2
9822,16110,24364,2
10050,15235,15619,2
10144,31158,53473,2
9999,15424,39217,2
9826,16507,36345,2
9537,13555,33092,2
9444,13472,23235,2
9505,29882,55048,2
9876,17295,26148,2
10450,26139,54792,2
10935,16898,42865,2
10028,23643,47487,2
10030,31892,57291,2
10503,27696,54484,2
9933,41535,69385,2
10136,16925,30180,2
10554,56227,83015,2
9986,16093,16584,2
10005,16637,17146,2
10522,14799,26082,2
9412,13847,28864,2
10028,48774,79535,2
10041,52066,81165,2
9984,15897,16105,2
10036,15964,24069,2
10042,16114,23382,2
9627,12876,13484,2
9157,13002,30845,2
9152,38298,59499,2
9376,15891,15978,2
9945,32274,58128,2
10222,16360,22275,2
10975,48699,76960,2
9765,13655,14247,2
9377,13727,27136,2
9626,31506,57841,2
10472,19695,37902,2
11668,63954,102870,2
12712,35260,70716,2
10336,16335,24159,2
9861,14085,14523,2
9495,14114,21205,2
10024,22300,50769,2
11046,49725,83952,2
12364,20365,30952,2
12303,21185,45767,2
12259,19054,38562,2
11329,16590,16979,2
11432,33971,54584,2
10033,58334,88150,2
10760,17841,18152,2
11346,19176,45070,2
11265,48745,79398,2
11397,18204,18780,2
11251,51464,82205,2
9913,14495,14812,2
10299,17556,21994,2
10896,50931,81603,2
10937,18125,18914,2
11403,50105,81328,2
11806,19568,49892,2
11883,24403,42507,2
10120,15944,39185,2
10800,16311,16901,2
11318,19406,36048,2
11310,19222,39770,2
11797,19092,39400,2
11788,17943,18764,2
10648,16529,16827,2
10993,16408,26702,2
10968,36704,70040,2
11093,32628,61670,2
10810,17332,17780,2
11048,18125,18788,2
11293,52158,84141,2
11411,18373,41287,2
11361,17359,17547,2
11931,27645,57999,2
12223,55360,94500,2
12571,27387,63906,2
14553,47600,80160,2
14968,21981,33592,2
12958,16568,26166,2
10450,14896,15115,2
10550,17893,18854,2
11193,35234,63259,2
11146,17553,27034,2
11297,20805,54129,2
12109,35826,73185,2
13096,37022,71039,2
14566,66363,100540,2
13043,22792,28951,2
13276,22921,45132,2
13667,73759,111515,2
12472,18527,31984,2
11073,17113,24973,2
10264,14801,37727,2
9869,14779,34867,2
10418,18377,37498,2
11425,45430,80812,2
12469,20082,29329,2
12519,71606,108290,2
13217,20697,40914,2
12297,17947,23736,2
11644,15598,15951,2
10982,17572,36262,2
10896,17893,18491,2
11101,29584,57666,2
12335,20477,21140,2
12798,21212,22932,2
13010,17685,24772,2
10244,15109,36467,2
10347,62289,94175,2
11546,18350,43152,2
10760,18415,34642,2
10682,29454,61547,2
11253,19378,20311,2
12455,21203,25362,2
13197,20094,20762,2
13335,42626,79390,2
13968,21829,53517,2
12427,49325,77089,2
11861,46040,74655,2
12069,84384,119717,2
11144,24934,52476,2
10536,14354,35035,2
9693,14562,22507,2
10485,19058,19624,2
12164,34706,67616,2
12438,39609,69036,2
12451,25611,55533,2
10479,36795,60652,2
10484,61728,86862,2
10548,46476,81054,2
10606,17070,17659,2
10367,16927,17124,2
10726,18198,45092,2
11250,62699,94460,2
11392,15979,36882,2
9553,13589,35527,2
9674,22932,48540,2
10060,41502,66500,2
10290,26098,53976,2
10864,24759,53442,2
10542,17178,33406,2
10184,15139,15642,2
10299,14870,19623,2
10067,17286,17534,2
10581,17301,17858,2
10541,16288,16556,2
10078,16130,16826,2
10201,16219,23215,2
9947,33430,57836,2
9701,13500,14796,2
10303,17422,37252,2
10310,16457,27280,2
10605,16402,30996,2
10221,16556,40427,2
10154,16313,16533,2
9964,26726,49514,2
9677,18213,40545,2
9667,16544,38222,2
10057,16974,39512,2
10199,15935,16929,2
10095,17150,39947,2
10259,16545,34530,2
10109,14199,28348,2
9640,36588,60313,2
10047,23728,53403,2
10379,54173,82160,2
10575,31642,63648,2
10519,16229,23337,2
10540,16096,16545,2
10409,14745,15529,2
10050,14439,15980,2
10167,56721,79595,2
10515,16086,17343,2
10571,31680,55828,2
10514,16007,17276,2
10813,47595,69903,2
10256,15204,28316,2
9724,13747,15004,2
9805,71140,94122,2
10451,23686,48192,2
10386,15784,17837,2
10860,32502,55867,2
10658,15988,17276,2
10588,14641,28956,2
9951,20322,39609,2
9876,15858,18328,2
11269,16710,43945,2
11988,34254,58250,2
11427,16394,18877,2
10922,17696,34072,2
11508,41922,71635,2
11592,16151,28314,2
11190,49536,72544,2
11181,16590,18334,2
11318,17333,30486,2
10897,18134,48264,2
11300,39240,69714,2
10674,30517,59316,2
10251,28004,51338,2
10414,17755,32166,2
11267,39635,73597,2
10762,23367,49986,2
9798,47047,66055,2
10274,26332,51464,2
10992,14635,16216,2
10262,15793,20554,2
10353,16304,18784,2
11233,16660,36502,2
10856,17296,25489,2
11132,24262,56649,2
11541,17036,18387,2
12502,36930,63801,2
11375,35492,60264,2
11665,26925,53721,2
13037,54063,89340,2
11417,41455,64472,2
12064,33580,61688,2
11396,17443,23236,2
10853,31752,53455,2
10534,15099,18130,2
11154,19875,50127,2
11826,17588,20818,2
13024,18593,26964,2
14008,51754,90780,2
12507,55842,86425,2
12627,17400,33196,2
11870,17705,29238,2
12156,19640,22564,2
14603,19858,37672,2
13269,18305,19661,2
11699,16906,18260,2
10784,17430,39937,2
13171,51628,82830,2
11987,41500,67063,2
12636,19141,44272,2
13834,18766,27078,2
12688,30330,61708,2
11870,23641,49776,2
11781,16044,23287,2
10599,14980,20700,2
11151,44660,68431,2
10950,40560,70608,2
10996,17755,33360,2
11410,17731,26548,2
13086,20314,39475,2
12026,17157,24886,2
11967,16872,18172,2
11832,30840,53718,2
11708,53487,76720,2
12027,60994,86670,2
12294,27277,53550,2
11881,17392,18821,2
11917,18619,40015,2
12050,43485,73831,2
12392,16563,18540,2
12906,66762,101502,2
14124,19819,22006,2
15233,20280,30138,2
13544,54627,82160,2
14266,29592,63812,2
15498,30268,58089,2
13814,18212,27337,2
14715,19847,29342,2
13930,18909,21399,2
13473,63626,97150,2
14135,36062,67683,2
15064,33120,70609,2
14476,18102,32386,2
12685,15908,18085,2
12751,19143,36274,2
13587,18477,19563,2
13423,18746,25515,2
13079,18103,19388,2
12324,33496,61246,2
12060,15724,18945,2
11468,14961,21814,2
11647,60011,80485,2
11830,17103,18402,2
11820,17922,33352,2
11468,35012,68420,2
12523,42145,79024,2
12688,38380,70299,2
11725,22719,43329,2
12234,17817,22564,2
11783,16558,24634,2
11531,16671,18421,2
11985,18178,33980,2
12394,17544,18776,2
