X_05%,X_68%,X_95%,Template
10764,14182,20872,3
11071,16595,17766,3
12017,19791,23106,3
10350,17120,22820,3
10895,17778,19579,3
11781,19548,24164,3
12832,18503,29661,3
13593,23968,27430,3
14064,26765,30032,3
14898,19129,20588,3
14526,19961,26726,3
13141,19585,26842,3
13373,20347,26237,3
14717,20407,22419,3
15358,21349,26475,3
16275,21239,27004,3
14636,18091,20902,3
12578,17145,21606,3
12772,18366,20596,3
13858,24179,29032,3
14075,19129,28563,3
13744,19045,27702,3
13674,19181,20655,3
14302,18274,19717,3
14745,18301,26137,3
14551,20090,29374,3
14298,20435,24655,3
13644,23272,29221,3
13447,20261,24082,3
14017,18840,19837,3
13571,17912,23617,3
13330,16648,18981,3
12859,18097,19722,3
12982,18378,19930,3
12197,17286,19365,3
12677,17916,24499,3
12435,20195,28242,3
11883,19603,23281,3
12300,16714,20062,3
13311,19238,25612,3
11976,16875,18319,3
11918,19888,25442,3
12793,18078,18921,3
12356,17188,17986,3
11790,15124,16288,3
12261,19908,24222,3
13361,18120,19649,3
13446,23087,26103,3
13349,18597,20860,3
12629,17363,18424,3
12331,17771,24222,3
11549,18012,22255,3
11159,18579,22354,3
11677,17688,22391,3
12114,19483,24465,3
12384,17397,18773,3
12321,17356,25453,3
12264,16931,17661,3
11745,15190,18590,3
11075,15356,16440,3
10743,16099,17696,3
10871,16412,17631,3
10735,15933,21107,3
10877,16410,17463,3
10974,16834,23562,3
10987,15372,18753,3
10676,14786,16903,3
10720,18808,24613,3
11643,17064,22737,3
11751,21438,25303,3
11634,17362,23338,3
11246,16545,20398,3
11582,16906,20561,3
11527,15159,19798,3
10990,16011,17479,3
11356,19979,24296,3
12190,17746,18664,3
12199,20377,25223,3
11889,16875,17422,3
11915,15512,22450,3
10789,14938,16379,3
11580,17214,18837,3
12598,17080,18183,3
11661,16832,25106,3
10926,16386,17287,3
10724,16346,23296,3
9993,14454,18235,3
9802,18112,21582,3
10680,19321,23970,3
11016,16717,18916,3
10875,17009,20944,3
10957,22509,25367,3
11072,16643,17218,3
10828,15474,20442,3
10380,14222,15759,3
11082,20769,22833,3
11815,16379,16798,3
11053,15973,18204,3
11493,19266,23194,3
10420,14611,15269,3
10151,14054,18393,3
9815,12913,13766,3
10009,15824,22146,3
10883,16793,17308,3
10517,16423,23120,3
10699,16227,20112,3
10711,15965,20912,3
11180,14018,16102,3
10387,15993,17586,3
9518,18450,23320,3
9895,17165,22278,3
9816,15385,21169,3
9913,15656,15970,3
9863,15176,16048,3
9945,13380,20342,3
9595,12913,17177,3
9928,19439,23708,3
11020,18356,22362,3
10116,15630,20856,3
10244,16292,22544,3
9887,15505,17185,3
9689,13924,19041,3
9515,13745,14671,3
9822,19935,23085,3
10829,17539,22387,3
10168,15592,18749,3
9999,19071,21113,3
10733,15782,16554,3
9537,13237,13806,3
9289,14989,17555,3
9509,15593,15764,3
10190,17017,17406,3
10967,18196,23736,3
11567,19068,24964,3
10028,15854,16190,3
