X_05%,X_68%,X_95%,Template
12230,16483,17709,0
11071,16889,25716,0
10886,15892,23370,0
10148,14629,22101,0
11444,25482,26667,0
11781,25546,29290,0
15138,20786,27754,0
13593,19063,31467,0
14064,29883,32001,0
14898,19070,30832,0
14526,17898,29788,0
13141,19057,27475,0
12711,18814,27361,0
14717,20480,33628,0
15191,20651,34023,0
16275,30282,32709,0
14636,17933,26131,0
12578,16803,26934,0
12772,23415,27667,0
13858,20670,26445,0
14075,19135,28693,0
13744,19003,28432,0
13674,19249,22933,0
14302,18274,27624,0
14745,18291,20500,0
14551,20146,21967,0
14298,19590,29554,0
13644,27741,30861,0
13403,20720,27930,0
14017,19087,21493,0
13571,25747,27967,0
14529,23775,24972,0
12859,26284,28993,0
12982,26676,27586,0
12197,18367,25713,0
12677,26736,28905,0
12435,18522,19500,0
12325,16971,18507,0
12541,24615,27697,0
12883,19468,26943,0
13433,25312,27478,0
11918,25861,28662,0
12943,25933,27424,0
12356,17301,25462,0
12670,22116,24180,0
11765,21783,26823,0
13361,20569,27180,0
13308,19018,27402,0
12654,18015,28104,0
12629,25330,26281,0
12903,18915,25792,0
11549,19453,24627,0
11159,22033,25410,0
11677,17116,24603,0
12114,25219,26071,0
12384,25287,26634,0
13717,24738,26034,0
12264,17167,25966,0
11745,15987,23056,0
11075,17725,21373,0
10743,23101,24148,0
12246,17239,24484,0
11354,18346,24022,0
10877,24436,26194,0
10974,21877,25290,0
10519,22201,23100,0
10558,14036,20326,0
10719,18169,25771,0
11643,25099,26791,0
12382,17358,18227,0
12239,23947,25327,0
11246,17269,24817,0
11582,15418,21097,0
11610,14758,17416,0
11568,23439,24322,0
11356,17734,22345,0
12467,17870,18961,0
12490,17242,18429,0
13556,25312,26133,0
11915,21751,24040,0
10789,21220,24444,0
11580,18848,26074,0
13166,24243,25957,0
12263,17323,19779,0
11585,24579,25930,0
10657,15746,23518,0
9993,14313,20323,0
9802,20701,23331,0
10680,16688,24198,0
11016,24480,26143,0
10875,16657,17727,0
10957,24696,25212,0
11116,16906,24964,0
12266,16383,19815,0
12446,15842,18333,0
10937,24237,25713,0
12889,22801,25192,0
11103,23305,24582,0
10830,22495,24034,0
10420,21499,22827,0
10151,20122,21336,0
9815,12913,20361,0
10515,15791,17271,0
10620,16793,25962,0
10517,16257,16567,0
10414,22623,23535,0
10711,22897,23947,0
10254,13857,20752,0
9342,18597,20517,0
9518,15554,23251,0
9895,15471,22552,0
9816,15321,22249,0
9913,15656,23955,0
9863,15940,24072,0
9945,19750,20745,0
9595,13004,15117,0
9895,16310,24606,0
10168,15718,23281,0
10116,15535,22321,0
10244,22975,23527,0
9887,23254,24091,0
9689,20541,21111,0
9515,14117,20209,0
9822,16243,22402,0
10050,15418,23371,0
10878,22917,23388,0
9999,16809,23572,0
11866,23673,24831,0
9537,15703,20332,0
10286,19087,20208,0
9505,15657,19945,0
12820,17388,24159,0
10450,17946,27396,0
10935,24856,25732,0
10028,23035,24256,0
10030,24289,24913,0
10338,14207,14938,0
9685,24396,24921,0
10136,25261,25468,0
11570,23253,25225,0
10928,16516,22027,0
10005,16913,21481,0
10229,20928,22198,0
9412,14169,17715,0
9731,19378,24511,0
9979,16178,23865,0
9984,15914,16181,0
10036,15964,24237,0
10217,15784,16466,0
9627,13280,20226,0
9418,18507,19191,0
9194,13437,14245,0
9376,15938,23967,0
9945,16698,24586,0
10110,16219,24834,0
9875,16318,24196,0
9765,14275,20854,0
10483,14370,20113,0
9626,16445,16820,0
14544,19919,25945,0
11917,22940,32824,0
12712,17969,26445,0
12299,24159,24903,0
9861,14413,21193,0
9495,21171,21652,0
10024,17175,26139,0
11046,21385,30978,0
12364,21558,31500,0
13829,30247,31777,0
12259,19054,19578,0
11329,24885,25468,0
10713,20469,20901,0
12999,25905,26731,0
10760,26337,27228,0
12643,27922,29062,0
11043,19172,28566,0
12709,27106,28164,0
11228,16014,22512,0
11334,14812,16740,0
10299,17954,26836,0
10896,26296,27219,0
10937,18635,20025,0
11158,27109,30231,0
11806,20458,29472,0
10739,24265,24564,0
10120,15510,23841,0
10800,16587,24357,0
11842,18769,19519,0
11510,19209,20136,0
11797,19377,25798,0
11693,18609,25531,0
10648,16581,17023,0
10801,16251,19921,0
10968,26236,27883,0
11281,17411,20205,0
11222,24177,26670,0
11048,18125,27990,0
11933,27643,28348,0
11332,26848,27526,0
11622,17502,22896,0
11931,19477,27645,0
13570,21370,22144,0
16115,31953,33769,0
12826,32773,34708,0
13437,28921,33114,0
12912,23640,25465,0
10450,20446,22350,0
10550,18858,27781,0
11368,20421,27247,0
11146,17438,24399,0
15351,25605,30687,0
16383,30982,32578,0
13096,20297,29274,0
14029,19481,24016,0
14364,26509,34372,0
13276,22421,35533,0
13667,31764,33454,0
13657,27072,27960,0
11073,16649,25698,0
10492,21745,22693,0
9869,21604,22086,0
10418,27354,28402,0
11425,29709,31240,0
12469,29677,31591,0
13786,30688,32487,0
13217,21007,26257,0
14596,21268,27487,0
11644,23397,23926,0
11332,24903,27196,0
10896,25387,27736,0
11101,19301,27430,0
12183,22290,31297,0
12798,22687,27913,0
13010,25998,27885,0
10244,21394,22378,0
10347,18835,23682,0
11546,26698,27598,0
10760,18421,25434,0
10682,18142,26377,0
15320,26958,30466,0
12402,20834,31867,0
13197,20626,30091,0
13806,33225,36174,0
13968,30300,32796,0
11751,19829,29595,0
11279,26820,27739,0
10961,25999,28258,0
11894,17547,24934,0
11380,20604,21403,0
9693,14952,21750,0
10222,19455,29305,0
12164,19597,29482,0
15607,30558,30879,0
12990,26829,27946,0
10479,22186,23019,0
9862,22110,24166,0
10548,24745,27858,0
10606,25357,25788,0
10434,16998,22617,0
10726,18028,18488,0
11676,26871,28659,0
11392,22438,23968,0
9553,16672,22261,0
9674,24265,24646,0
10060,24937,25180,0
10290,18327,26098,0
11380,24759,27243,0
10542,16994,17396,0
10184,15139,16093,0
11577,22270,23602,0
10389,17286,17534,0
10581,17858,26389,0
10658,16312,17020,0
10078,16176,25239,0
10201,24141,24720,0
10985,20899,21831,0
9701,13503,15359,0
9738,16166,16949,0
10084,15828,22717,0
10350,23629,24031,0
10221,24304,25356,0
10154,16325,16660,0
10125,14371,15085,0
9677,13515,14854,0
10403,22780,24816,0
10057,23968,25461,0
10990,17371,23916,0
10095,16061,17248,0
10259,16189,24658,0
10109,15041,21595,0
9640,13922,19890,0
10014,22887,24004,0
10309,16506,26262,0
10464,23868,25885,0
10598,17308,24181,0
10540,16228,22545,0
10409,14983,19287,0
11290,21459,23970,0
10395,24303,26070,0
10515,23493,26014,0
10571,16066,25932,0
10514,23253,24193,0
10813,23301,24459,0
10256,21081,22806,0
9724,14601,20649,0
9684,15743,17667,0
10451,23686,24292,0
10386,23299,26755,0
10860,24295,27105,0
